Timestamp,Starost:,Spol:,Katera družabna omrežja uporabljaš?,Amelie (2001),"Izvor (Inception,  2010)","Vitez teme (The Dark Knight, 2008)",Titanic (1997),"Beležnica (Notebook, 2004)","3 idioti (3 Idiots, 2009)","Matrica (Matrix, 1999)","Življenje je lepo (La vita e' bella, 1997)","Veliki Lebowski (Big Lebowski, 1998)","Reševanje vojaka Ryana (Saving private Ryan, 1998)","Hobiji, s katerim se ukvarjaš:","Športi, s katerimi se ukvarjaš:","Glasba, ki jo poslušaš:"
2016-06-12 07:35:47,19,M,Facebook;Twitter;YouTube,0,0,5,3,2,0,4,0,0,4,"programiranje;glasba, petje;pohodništvo, hoja v hribe",nogomet,"pop;rock;metal;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 07:39:03,18,Ž,Facebook;Instagram;Pinterest;YouTube,0,5,0,5,5,0,0,0,0,0,računalniške igre,odbojka;e sports,"elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 08:10:56,18,M,Facebook,0,0,0,4,0,0,4,0,0,5,ročna dela,nogomet,južna
2016-06-12 08:26:28,19,Ž,Snapchat;Instagram;YouTube,0,0,5,5,5,0,2,3,0,0,"glasba, petje;pohodništvo, hoja v hribe;družabne igre",,"pop;r'n'b / soul;rap / hip-hop;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 08:37:54,18,Ž,Facebook;Snapchat;YouTube,0,4,3,4,3,2,5,4,0,5,"glasba, petje","tek, atletika",pop;rock;klasična glasba
2016-06-12 08:44:08,19,Ž,Facebook;Snapchat;Instagram;Pinterest;YouTube,0,3,4,5,5,0,0,0,0,0,"branje;slikanje, risanje, fotografija;kuhanje, kulinarika","odbojka;kolesarjenje;borilni športi (taekwondo, karate, aikido...)",pop;rock;jazz
2016-06-12 08:46:12,18,Ž,Facebook;YouTube,0,4,5,3,5,1,5,0,0,4,"branje;glasba, petje;družabne igre;reševanje ugank",odbojka;plavanje;kolesarjenje,pop;rock;jazz;reggage;blues
2016-06-12 08:52:13,18,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,4,5,0,0,4,0,0,"branje;glasba, petje;pohodništvo, hoja v hribe;kuhanje, kulinarika;družabne igre","tek, atletika;joga",pop;rock
2016-06-12 08:53:27,18,Ž,Facebook;Snapchat;Instagram;Tumblr;YouTube,0,0,3,5,3,0,0,4,0,0,tek,"tek, atletika;joga",pop;r'n'b / soul;rock
2016-06-12 08:58:04,18,Ž,Facebook;Pinterest;Tumblr;YouTube,0,0,4,3,4,0,3,0,0,4,"branje;glasba, petje;slikanje, risanje, fotografija;pohodništvo, hoja v hribe","nogomet;odbojka;tek, atletika;kolesarjenje",pop;rock;metal;funk;punk
